Category,Question,Correct Answer,Other Answers,,
Elise,What instrument did Elise play as a child?,,,,
Elise,What is Elise's middle name?,Janae,Eileen,Laura,Marie
Elise,What is Elise’s old twitter username?,elis3baum,realelisebauman,elisebauman,baumanelise
Natasha,Which of these is true about Natasha?,She doesn't know how to drive,She used to have a pet turtle,She played volleyball in high school,She minored in drama
Natasha,Which of these is true about Natasha?,She grew up with a pet newt.,She knows how to knit,She used to tap dance,She loves grape flavored things
Natasha,What does Natasha have half a degree in?,Performance Voice,English Literature,Dramatic Arts,Art History
Natasha,What is the name of Natasha's family dog?,Primo,Harley,Phoebe,Sunny
Natasha,Which of the following joe jobs of Natasha's is false?,Swim Instructor,Harley Davidson Retail Worker,Hooter's GIrl,File Clerk
Natasha,What is the top country on Natasha's bucket list?,Japan,Egypt,Mexico,New Zealand
Natasha,What is Natasha afraid of?,Oceans ,Heights,Flying,Snakes
Natasha,What are some of Natasha's favorite scents,"Cedarwood, Puppy Paws, Lavender, and Fresh Linens","Freshly cut grass, Vanilla, Chloe perfume, and Cucumbers","Sandalwood, Vanilla, Strawberries, and Lavender","Vanilla, Orange slices, Roses, and Puppy Paws"
Natasha,What did Natasha not participate in during high school?,Debate Team,Community Theatre,Leadership Council,Improv Club
Natasha,Who would Natasha most love to play in a biopic someday?,Maria Callas,Audrey Hepburn,Natalie Wood,Gypsy Rose Lee
Natasha,Which of these is true about Natasha?,She is not fond of most cats,She hates camping,She is gluten intolerant,She dislikes really hot weather
Natasha,Which of the following was Natasha probably in a past life?,Cat,Servant,Fish,Dancer
Natasha,What is Natasha's Venus sign?,Aquarius,Cancer,Aries,Sagittarius
Natasha,What color would Natasha never paint her walls?,Pink,Black,Yellow,Green
Natasha,What Disney princess does Natasha not really admire?,Snow White,Jasmine,Megara,Belle
Natasha,What colors often represent Natasha's aura?,Mostly Violet and Some Indigo,Mostly Indigo and Some Yellow,Mostly Violet and Some Pink,Mostly Red and Some Orange
Natasha,What does Natasha have her family members in her phone as?,"The Father, Mother Dearest, and Little Broski","Daddy Dearest, Mother Dearest, Little Broski","The Sperm Donor, Big Mama, Little Brosef","Daddy Dearest, Big Mama, Little Brosef"
Natasha,What does Natasha frequently have nightmares about?,Something goin wrong on stage/set,Her teeth falling out,Getting stuck in an elevator,Being back in her high school dance class
Natasha,Which of the following has Natasha never seen an episode of?,Game of Thrones,The Sopranos,South Park,The Tudors
Natasha,What two languages make up Natasha's last name?,Albanian & Turkish,Bulgarian & Russian,Greek & Russian,Albanian & Russian
Natasha,What was the first concert Natasha went to without her parents?,The White Stripes,Blink 182,Avril Lavigne,Sum 41
Natasha,Which of the following mildly weird toppings does Natasha order on her pizza? ,Broccoli,Pineapple,Purple Onion,Anchovies
Natasha,What celebrity does Natasha wish was her sister?,Olivia Wilde,Natalie Portman,Mila Kunis,Halle Berry
Natasha,What celebrity does Natasha wish was her brother?,Paul Rudd,Joseph Gordon Levitt,Chris Pine,Ryan Reynolds
Natasha,How old was Natasha when she learned to ride a bike?,7,5,9,12
Natasha,How many countries has Natasha been to?,"5? (US, Canada, Australia, Spain, France)",4,7,3
Natasha,What is the worst grade Natasha ever got in school?,51%,73%,42%,85%
Natasha,What was one of Natasha's favorite tv shows growing up?,Clone High,Arthur,Total Drama,Pecola
Natasha,What did Natasha dress up as for halloween once as a child?,Single French Fry,Vampire,Princess,Sailor Moon
Natasha,What was the first amusement park Natasha ever went to?,Centerville,Cedar Pointe,Six Flags,Disney World
Natasha,Languages?,,,,
Natasha,What would Natasha's parents have named her if she was a boy?,Nicholas,Benjamin,Tommy,Shaun
Natasha,How old was Natasha when she realized Santa wasn't real?,4,7,10,8
Natasha,What was Natasha's first R rated movie?,Dawn of the Dead,Cruel Intentions,Final Destination,V for Vendetta
Elise,What is Elise's favorite holiday song?,Let it Snow,Making Christmas,Last Christmas,Rockin Around the Christmas Tree
Natasha,What is Natasha's favorite holiday song?,Making Christmas,Let it Snow,Jingle Bells,Silver Bells
Elise,What is Elise's favorite holiday scent?,Pine,Sugar Cookies,Roasted Chesnuts,Gingerbread
Natasha,What the name of Natasha's family holiday recipe?,Poo Cookies,Nuts and Bolts,Casserole,Yorkshire Pudding
Natasha,What is Natasha's favorite holiday movie?,Nightmare before Christmas,Elf,A Christmas Story,Charlie Brown Christmas
Elise,What is Elise's favorite holiday movie?,Elf,Nightmare before Christmas,Love Actually,Home Alone
